symbol,date,recommendation,combined,intrinsicv_value,market_price,pe_ratio,rsi,macd_signal,bollinger_signal,trend_signal,fundamental_signal,risk_signal,dividiend_signal,score
AAPL,9/20/2024,SELL,SELL,0,228.1999969482422,34.733635,63.80273867187137,BUY,SELL,downward,SELL,BUY,HOLD,-0.5
GOOGL,9/20/2024,HOLD,HOLD,0,163.58999633789062,23.470589,64.07276561052194,BUY,HOLD,downward,SELL,BUY,HOLD,0
MSFT,9/20/2024,SELL,SELL,0,435.2699890136719,36.918575,74.09463513219998,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
A,9/20/2024,HOLD,HOLD,0,140.08999633789062,29.018711,68.48406144106487,BUY,HOLD,downward,SELL,BUY,HOLD,0
AACT,9/20/2024,SELL,SELL,0,10.81000042,23.5,78.57191514870775,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
AAT,9/20/2024,SELL,SELL,0,26.940000534057617,30.595505,75.44483285,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
ABBV,9/20/2024,SELL,SELL,0,193.47000122070312,64.96457,39.146427316301995,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
AB,9/20/2024,SELL,SELL,0,34.95000076293945,12.23345,89.26824911,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
ABCB,9/20/2024,SELL,SELL,0,64.08000183105469,14.331554,78.50126368,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
ABEV,9/20/2024,SELL,SELL,0,2.299999952316284,13.705882,36.00002670285539,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
ABG,9/20/2024,HOLD,HOLD,0,224.9499969482422,11.420772,52.47087354237702,BUY,HOLD,downward,SELL,BUY,HOLD,0
ABM,9/20/2024,HOLD,HOLD,0,52.08000183105469,21.51033,67.77408911551737,BUY,HOLD,downward,SELL,BUY,HOLD,0
ABR,9/20/2024,SELL,SELL,0,15,10.423611,86.95650371126621,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
ABT,9/20/2024,SELL,SELL,0,113.69999694824219,35.91798,32.958785088299976,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
AC,9/20/2024,SELL,SELL,0,34.560001373291016,21.824677,74.86481052854057,BUY,SELL,downward,SELL,BUY,HOLD,-0.5
ACA,9/20/2024,SELL,SELL,0,93.05999755859375,31.311258,80.88236055635916,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
ACEL,9/20/2024,SELL,SELL,0,11.930000305175781,21.052631,81.35598014739934,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
ACI,9/20/2024,HOLD,HOLD,0,18.670000076293945,9.723959,54.27352726371663,BUY,HOLD,downward,SELL,BUY,HOLD,0
ACM,9/20/2024,SELL,SELL,0,101.19000244140625,37.450184,87.12872783,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
ACN,9/20/2024,SELL,SELL,0,336.2200012207031,30.64913,41.80833508490267,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
ACP,9/20/2024,SELL,SELL,0,6.449999809265137,6.9892387,50,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
ACR,9/20/2024,SELL,SELL,0,15.789999961853027,18.731707,67.82608624,SELL,SELL,downward,SELL,BUY,HOLD,-0.5
ACV,9/20/2024,SELL,SELL,0,21.420000076293945,12,91.24765402266465,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
ADC,9/20/2024,SELL,SELL,0,74.44999694824219,41.59218,44.79714846625107,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
ADM,9/20/2024,HOLD,HOLD,0,61.36000061035156,12.211155,68.02324893691264,BUY,HOLD,downward,SELL,BUY,HOLD,0
ADNT,9/20/2024,HOLD,HOLD,0,22.670000076293945,30.306665,67.64704298397021,BUY,HOLD,downward,SELL,BUY,HOLD,0
AEE,9/20/2024,SELL,SELL,0,85.62000274658203,19.320541,62.34083905192325,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
ADX,9/20/2024,SELL,SELL,0,21.399999618530273,4.2023573,84.11213787,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
AEM,9/20/2024,SELL,SELL,0,83.12999725341797,71.55173,79.40854994543264,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
AESI,9/20/2024,SELL,SELL,0,22.65999984741211,19.632479,87.77172575038315,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
AES,9/20/2024,SELL,SELL,0,18.899999618530273,17.909525,87.39611946875303,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
AEO,9/20/2024,SELL,SELL,0,20.360000610351562,16.288,81.35592946373657,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
AER,9/20/2024,SELL,SELL,0,97.01999664,6.3873515,74.10192035213785,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
AFG,9/20/2024,SELL,SELL,0,135.6199951171875,12.954245,44.55177716,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
AFB,9/20/2024,SELL,SELL,0,11.649999618530273,61.473686,69.04759742235504,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
AFL,9/20/2024,SELL,SELL,0,107.91999816894531,11.364594,39.77897932581002,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
AGCO,9/20/2024,SELL,SELL,0,94.73999786376953,17.016071,83.43194358043229,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
AGD,9/20/2024,SELL,SELL,0,10.279999732971191,17.199999,69.56514527983083,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
AGM,9/20/2024,HOLD,HOLD,0,183.35000610351562,11.345943,58.81825292161787,BUY,HOLD,downward,SELL,BUY,HOLD,0
AGI,9/20/2024,SELL,SELL,0,20.81999969482422,41.1802,86.62667003,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
AGS,9/20/2024,HOLD,HOLD,0,11.300000190734863,103.18182,51.724183290253414,BUY,HOLD,downward,SELL,BUY,HOLD,0
AGO,9/20/2024,SELL,SELL,0,81.06999969482422,6.6797705,85.92820594819315,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
AGRO,9/20/2024,SELL,SELL,0,11.40999984741211,5.64005,56.876627630851516,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
AGR,9/20/2024,SELL,SELL,0,35.75999832,14.202381,56.92303178,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
AGX,9/20/2024,HOLD,HOLD,0,95.88999938964844,30.09718,57.03828441817307,BUY,HOLD,downward,SELL,BUY,HOLD,0
AIN,9/20/2024,HOLD,HOLD,0,87.01000213623047,25.005713,62.53442947173289,BUY,HOLD,downward,SELL,BUY,HOLD,0
AIR,9/20/2024,SELL,SELL,0,69.27999877929688,54.01938,78.06907828625283,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
AIG,9/20/2024,HOLD,HOLD,0,73.76000213623047,14.073334,68.33240327964103,BUY,HOLD,downward,SELL,BUY,HOLD,0
AIO,9/20/2024,SELL,SELL,0,21.56999969482422,8.664659,99.60826088450568,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
AIT,9/20/2024,SELL,SELL,0,218.77000427246094,22.471544,82.85017699,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
AIZ,9/20/2024,SELL,SELL,0,194.27000427246094,13.016666,53.43775253915461,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
AJG,9/20/2024,HOLD,HOLD,0,276.05999755859375,54.225048,14.993864732765687,SELL,BUY,downward,SELL,BUY,HOLD,0
AL,9/20/2024,SELL,SELL,0,45.79999923706055,9.743563,85.54690293970388,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
AKR,9/20/2024,SELL,SELL,0,22.709999084472656,2267.1,65.31447464,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
ALC,9/20/2024,SELL,SELL,0,97.48000336,43.86937,54.36894969051506,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
ALE,9/20/2024,SELL,SELL,0,63.849998474121094,16.601824,52.90268108018326,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
ALEX,9/20/2024,SELL,SELL,0,19.469999313354492,27.208332,61.538398837984595,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
ALG,9/20/2024,SELL,SELL,0,181.14999389648438,17.232006,77.24811000881142,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
ALK,9/20/2024,SELL,SELL,0,40.02000045776367,22.662954,52.20001556398859,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
ALL,9/20/2024,SELL,SELL,0,191,17.589643,63.33801433436058,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
